Subject Common Name,Subject Org Name,Country Name,Org Unit Name,Validity Period,Key Signature,Serial Number,SHA1,SHA2,Issuer Subject Common Name,Issuer Subject Org Name,Issuer Country,Issuer Org Unit Name
Clifford Chance LLP CA - G2,Clifford Chance LLP,GB,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-08-27 => 2020-08-26,RSA 2048 / sha256WithRSAEncryption,0e1327eade942ae70e7b4c285aa3e894,DB3DBBA517E5BCA21FA69B72E8867F74AFB1B7AA,D0EFB840228EB4DAAAB3970AAE0E6487415412B3159351CF01738EAE486E5B5F,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Tetra Laval Group CA - G2,Tetra Pak International SA,SE,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-08-27 => 2020-08-26,RSA 2048 / sha256WithRSAEncryption,4645a86f485e2ff74e417f84db5ad26d,E2EB2E4BFAB686120DD924742007A3D656A44551,AFC58CD8D641AFB589D6317BD6D0A16A6992E045E4B4855777C6A9C3F63125D3,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Tetra Laval Group CA - G2,Tetra Pak International SA,SE,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-08-27 => 2020-08-26,RSA 2048 / sha1WithRSAEncryption,3c24c5ec6b0fda209cccd1778593a862,BF5DB07602BEAD8036544C97106B3F2FFB7BC35E,456A6B18FA9B1D6864AD02A1B3E6D737F664427FE326C1CF6D658083F52CC5F1,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
int.popcodes.com,,,,2018-08-30 => 2020-08-27,RSA 2048 / sha256WithRSAEncryption,534173c8c964429ea9223dc70dbe9eac,E89AED132D38393D4511D7B65351DFD0CEEFFF6E,CAE87E5126221501DB3A78A2151530D163796BB0019019C7FCEB3E5D3F474636,GeoTrust DV SSL CA - G3,GeoTrust Inc.,US,Domain Validated SSL
demo.popcodes.com,,,,2018-08-30 => 2020-08-27,RSA 2048 / sha256WithRSAEncryption,1700c8ebc0b5f811f627f7ba1b95b3d8,DFCB242DC68094E69F584E100BEED7675FEC90CD,D539BA15A7DCBE946A0F96DFA6CDFB1B1C1C92E0213D4AFBE8D698C2C87DF0E2,GeoTrust DV SSL CA - G3,GeoTrust Inc.,US,Domain Validated SSL
prod.popcodes.com,,,,2018-08-30 => 2020-08-27,RSA 2048 / sha256WithRSAEncryption,2bd607db95a8f3fb47e0a66ada5356ce,BF37ED511955CCEEDB0662E5AE8E026F39E96C60,36C02056D651D464DBC9B0703AFBA72C3944297A5BD30535595EB615777B6562,GeoTrust DV SSL CA - G3,GeoTrust Inc.,US,Domain Validated SSL
dev.popcodes.com,,,,2018-08-30 => 2020-08-27,RSA 2048 / sha256WithRSAEncryption,4fb83bfe2df9c10982e3ff656224a0c3,B99FC1D0275340E9FB35AA729240A02610AD65AC,A5D35C6502B08CF7FA84C34D42AB4E2FCACF67AFE0B70FFC1B58CBBBB4BBB4EF,GeoTrust DV SSL CA - G3,GeoTrust Inc.,US,Domain Validated SSL
staging.popcodes.com,,,,2018-08-30 => 2020-08-27,RSA 2048 / sha256WithRSAEncryption,5b662332f235ec5a866645af546c349f,4D25D5520149F09190A7F1217D2618ACE590AC5C,EF591B6175C0F74BC5737B2048A9EE5A1F181B4CCBC95D7F997B8E496FE7CAE6,GeoTrust DV SSL CA - G3,GeoTrust Inc.,US,Domain Validated SSL
test-api.ws.symantec.com,Symantec Corporation,US,Infrastructure Operations,2018-09-06 => 2020-08-29,RSA 2048 / sha256WithRSAEncryption,3cc0856ae4e79b30aee78e81ff78e7c1,BAF1332CA3E459D2CCA99EB7825E3179C4C92C9C,0A1ED929BFAA71E035F1B1656338270CFE4B622DCDB54D546767F2082A86326F,Symantec Class 3 EV SSL CA - G3,Symantec Corporation,US,Symantec Trust Network
test-api.geotrust.com,Symantec Corporation,US,Infrastructure Operations,2018-09-06 => 2020-08-30,RSA 2048 / sha256WithRSAEncryption,1e535b2de3ead25a4e88ecc128c728fe,B0113522B4FBBBF34F9275B2D2995A128A19B7A5,07ADA04967E7C85513F6B179FAE60EC0C93538F8C9E9E25161043C717FA1DF4F,GeoTrust EV SSL CA - G4,GeoTrust Inc.,US,
